Insectendoos_label|Insectendoos_toelichting|AangegevenTaxon|aantal
01-01|Schenking H. Bosz; Carabidae 5|Carabus anatolicus|8
01-01|Schenking H. Bosz; Carabidae 5|Carabus albrechti okumurai|4
01-01|Schenking H. Bosz; Carabidae 5|Carabus awashimae|2
01-01|Schenking H. Bosz; Carabidae 5|Carabus rumelicus|1
01-01|Schenking H. Bosz; Carabidae 5|Carabus morio|5
01-01|Schenking H. Bosz; Carabidae 5|Carabus irmasanus|2
01-01|Schenking H. Bosz; Carabidae 5|Carabus torosus|1
01-01|Schenking H. Bosz; Carabidae 5|Paussus favieri|2
01-01|Schenking H. Bosz; Carabidae 5|Cychrus angustatus|2
01-01|Schenking H. Bosz; Carabidae 5|Cychrus cylindricollis|1
01-01|Schenking H. Bosz; Carabidae 5|Cychrus caraboides|8
01-01|Schenking H. Bosz; Carabidae 5|Cychrus attenuatus|8
01-01|Schenking H. Bosz; Carabidae 5|Cychrus italicus|6
01-01|Schenking H. Bosz; Carabidae 5|Cychrus schmidti|1
01-02|Schenking H. Bosz; Carabidae 6|Leistus spinibarbis|9
01-02|Schenking H. Bosz; Carabidae 6|Leistus rufomarginatus|10
01-02|Schenking H. Bosz; Carabidae 6|Leistus fulvibarbis|4
01-02|Schenking H. Bosz; Carabidae 6|Leistus ferrugineus|10
01-02|Schenking H. Bosz; Carabidae 6|Leistus terminatus|10
01-02|Schenking H. Bosz; Carabidae 6|Leistus montanus|2
01-02|Schenking H. Bosz; Carabidae 6|Erynebria complanata|5
01-02|Schenking H. Bosz; Carabidae 6|Nebria livida|10
01-02|Schenking H. Bosz; Carabidae 6|Nebria picicornis|8
01-02|Schenking H. Bosz; Carabidae 6|Nebria psammodes|8
01-02|Schenking H. Bosz; Carabidae 6|Nebria jockischi|3
01-02|Schenking H. Bosz; Carabidae 6|Nebria rufescens|10
01-02|Schenking H. Bosz; Carabidae 6|Nebria brevicollis|8
01-02|Schenking H. Bosz; Carabidae 6|Nebria salina|8
01-02|Schenking H. Bosz; Carabidae 6|Nebria lafresnayei|10
01-02|Schenking H. Bosz; Carabidae 6|Nebria rubripes|1
01-02|Schenking H. Bosz; Carabidae 6|Nebria laticollis|1
01-02|Schenking H. Bosz; Carabidae 6|Nebria pictiventris|3
01-02|Schenking H. Bosz; Carabidae 6|Nebria hemprichi|5
01-02|Schenking H. Bosz; Carabidae 6|Nebria germari|2
01-02|Schenking H. Bosz; Carabidae 6|Nebria castanea|10
01-02|Schenking H. Bosz; Carabidae 6|Nebria testacea|2
01-02|Schenking H. Bosz; Carabidae 6|Nebria aetolica|2
01-02|Schenking H. Bosz; Carabidae 6|Nebria diaphana|10
01-02|Schenking H. Bosz; Carabidae 6|Notiophilus aquaticus|11
01-02|Schenking H. Bosz; Carabidae 6|Notiophilus palustris|10
01-02|Schenking H. Bosz; Carabidae 6|Notiophilus germinyi|1
01-02|Schenking H. Bosz; Carabidae 6|Notiophilus laticollis|3
01-02|Schenking H. Bosz; Carabidae 6|Notiophilus substriatus|2
01-02|Schenking H. Bosz; Carabidae 6|Notiophilus biguttatus|1
01-02|Schenking H. Bosz; Carabidae 6|Omophron variegatum|1
01-02|Schenking H. Bosz; Carabidae 6|Omophron limbatum|10
01-02|Schenking H. Bosz; Carabidae 6|Blethisa multipunctata|8
01-02|Schenking H. Bosz; Carabidae 6|Elephrus pyrenoeus|12
01-02|Schenking H. Bosz; Carabidae 6|Elephrus cupreus|8
01-02|Schenking H. Bosz; Carabidae 6|Elephrus ruparius|8
01-02|Schenking H. Bosz; Carabidae 6|Elephrus aureus|10
01-02|Schenking H. Bosz; Carabidae 6|Elephrus ullrichi|1
01-02|Schenking H. Bosz; Carabidae 6|Loricera pilicornis|8
01-02|Schenking H. Bosz; Carabidae 6|Scarites terricola|8
01-02|Schenking H. Bosz; Carabidae 6|Scarites laevigatus|8
01-02|Schenking H. Bosz; Carabidae 6|Scarites planus|2
01-02|Schenking H. Bosz; Carabidae 6|Scarites buparius|2
01-02|Schenking H. Bosz; Carabidae 6|Scarites eurytus|1
01-02|Schenking H. Bosz; Carabidae 6|Scarites occidentalis|2
01-02|Schenking H. Bosz; Carabidae 6|Scarites subcylindricus|2
01-02|Schenking H. Bosz; Carabidae 6|Clivina fossor|4
01-02|Schenking H. Bosz; Carabidae 6|Clivina collaris|9
01-02|Schenking H. Bosz; Carabidae 6|Clivina ypsilon|8
01-02|Schenking H. Bosz; Carabidae 6|Clivina laevifrons|1
01-02|Schenking H. Bosz; Carabidae 6|Nebria hellwigi|1
01-02|Schenking H. Bosz; Carabidae 6|Nebria hybrida|1
01-02|Schenking H. Bosz; Carabidae 6|Nebria dahli|2
01-03|Schenking H. Bosz.; Carabidae 7|Dyschirius thoracicus|9
01-03|Schenking H. Bosz.; Carabidae 7|Dyschirius obscurus|8
01-03|Schenking H. Bosz.; Carabidae 7|Dyschirius nitidus|2
01-03|Schenking H. Bosz.; Carabidae 7|Dyschirius politus|6
01-03|Schenking H. Bosz.; Carabidae 7|Dyschirius salinus|11
01-03|Schenking H. Bosz.; Carabidae 7|Dyschirius aeneus|2
01-03|Schenking H. Bosz.; Carabidae 7|Dyschirius leudersi|2
01-03|Schenking H. Bosz.; Carabidae 7|Dyschirius intermedius|1
01-03|Schenking H. Bosz.; Carabidae 7|Dyschirius laeviusculus|5
01-03|Schenking H. Bosz.; Carabidae 7|Dyschirius substriatus|1
01-03|Schenking H. Bosz.; Carabidae 7|Dyschirius cylindricus|4
01-03|Schenking H. Bosz.; Carabidae 7|Dyschirius agnatus|12
01-03|Schenking H. Bosz.; Carabidae 7|Dyschirius luticola|2
01-03|Schenking H. Bosz.; Carabidae 7|Dyschirius morio|1
01-03|Schenking H. Bosz.; Carabidae 7|Dyschirius globosus|7
01-03|Schenking H. Bosz.; Carabidae 7|Dyschirius numidicus|10
01-03|Schenking H. Bosz.; Carabidae 7|Dyschirius chalybaeus|3
01-03|Schenking H. Bosz.; Carabidae 7|Broscosoma relictum|2
01-03|Schenking H. Bosz.; Carabidae 7|Broscus cephalotus|6
01-03|Schenking H. Bosz.; Carabidae 7|Perileptus areolatus|12
01-03|Schenking H. Bosz.; Carabidae 7|Aepus marinus|2
01-03|Schenking H. Bosz.; Carabidae 7|Trechus quadristriatus|4
01-03|Schenking H. Bosz.; Carabidae 7|Trechus obtusus|3
01-03|Schenking H. Bosz.; Carabidae 7|Trechus alpicola|1
01-03|Schenking H. Bosz.; Carabidae 7|Trechus cardioderus|1
01-03|Schenking H. Bosz.; Carabidae 7|Trechus pulchellus|1
01-03|Schenking H. Bosz.; Carabidae 7|Trechus glacialis|4
01-03|Schenking H. Bosz.; Carabidae 7|Trechus fairmairei|7
01-03|Schenking H. Bosz.; Carabidae 7|Trechus gracilitarsis|4
01-03|Schenking H. Bosz.; Carabidae 7|Trechus putzeysi|1
01-03|Schenking H. Bosz.; Carabidae 7|Trechus mallaszianus|2
01-03|Schenking H. Bosz.; Carabidae 7|Trechus asiaticus|14
01-03|Schenking H. Bosz.; Carabidae 7|Lasiotrechus discus|8
01-03|Schenking H. Bosz.; Carabidae 7|Trechoblemus micros|2
01-03|Schenking H. Bosz.; Carabidae 7|Siagona europaea|3
01-03|Schenking H. Bosz.; Carabidae 7|Broscus nobilis|10
01-03|Schenking H. Bosz.; Carabidae 7|Trechus secalis|1
01-04|Schenking H. Bosz.; Carabidae 9|Binaghites armellinae|1
01-04|Schenking H. Bosz.; Carabidae 9|Tachyta nana|21
01-04|Schenking H. Bosz.; Carabidae 9|Tachys haemorrhoidalis|7
01-04|Schenking H. Bosz.; Carabidae 9|Tachys diabrachys|10
01-04|Schenking H. Bosz.; Carabidae 9|Tachys bistriatus|3
01-04|Schenking H. Bosz.; Carabidae 9|Tachys micros|8
01-04|Schenking H. Bosz.; Carabidae 9|Tachys scutellaris|12
01-04|Schenking H. Bosz.; Carabidae 9|Tachys parvulus|8
01-04|Schenking H. Bosz.; Carabidae 9|Tachys centriustatus|3
01-04|Schenking H. Bosz.; Carabidae 9|Tachys quadrisignatus|12
01-04|Schenking H. Bosz.; Carabidae 9|Tachys centromaculatus|2
01-04|Schenking H. Bosz.; Carabidae 9|Tachys bisulcatus|9
01-04|Schenking H. Bosz.; Carabidae 9|Tachys sextriatus|12
01-04|Schenking H. Bosz.; Carabidae 9|Tachys lucasii|4
01-04|Schenking H. Bosz.; Carabidae 9|Tachys ferrugata|1
01-04|Schenking H. Bosz.; Carabidae 9|Bembidion striatum|10
01-04|Schenking H. Bosz.; Carabidae 9|Bembidion foraminosum|1
01-04|Schenking H. Bosz.; Carabidae 9|Bembidion argenteolum|10
01-04|Schenking H. Bosz.; Carabidae 9|Bembidion velox|10
01-04|Schenking H. Bosz.; Carabidae 9|Bembidion littorale|10
01-04|Schenking H. Bosz.; Carabidae 9|Bembidion pygmaeum|1
01-04|Schenking H. Bosz.; Carabidae 9|Bembidion leucoscelis|1
01-04|Schenking H. Bosz.; Carabidae 9|Bembidion nigricorne|8
01-04|Schenking H. Bosz.; Carabidae 9|Bembidion lampros|8
01-04|Schenking H. Bosz.; Carabidae 9|Bembidion properans|12
01-04|Schenking H. Bosz.; Carabidae 9|Bembidion punctulatum|12
01-04|Schenking H. Bosz.; Carabidae 9|Bembidion pallidipenne|8
01-04|Schenking H. Bosz.; Carabidae 9|Bembidion bipunctatum|8
01-04|Schenking H. Bosz.; Carabidae 9|Bembidion obliquum|1
01-04|Schenking H. Bosz.; Carabidae 9|Bembidion varium|8
01-04|Schenking H. Bosz.; Carabidae 9|Bembidion semipunctatum|10
01-04|Schenking H. Bosz.; Carabidae 9|Bembidion ephippium|10
01-04|Schenking H. Bosz.; Carabidae 9|Bembidion tibiale|12
01-04|Schenking H. Bosz.; Carabidae 9|Bembidion geniculatum|12
01-04|Schenking H. Bosz.; Carabidae 9|Bembidion atrocoeruleum|9
01-04|Schenking H. Bosz.; Carabidae 9|Bembidion concoeruleum|7
01-04|Schenking H. Bosz.; Carabidae 9|Bembidion varicolor|12
01-04|Schenking H. Bosz.; Carabidae 9|Bembidion conforme|12
01-04|Schenking H. Bosz.; Carabidae 9|Bembidion fasciolatum|2
01-04|Schenking H. Bosz.; Carabidae 9|Bembidion ascendens|10
01-04|Schenking H. Bosz.; Carabidae 9|Bembidion bugnioni|8
01-04|Schenking H. Bosz.; Carabidae 9|Bembidion coeruleum|12
01-04|Schenking H. Bosz.; Carabidae 9|Bembidion monticola|1
01-04|Schenking H. Bosz.; Carabidae 9|Bembidion eques|8
01-04|Schenking H. Bosz.; Carabidae 9|Bembidion deletum|12
01-04|Schenking H. Bosz.; Carabidae 9|Bembidion incognitum|9
01-04|Schenking H. Bosz.; Carabidae 9|Bembidion stephensi|10
01-04|Schenking H. Bosz.; Carabidae 9|Bembidion milleri|7
01-04|Schenking H. Bosz.; Carabidae 9|Bembidion lunatum|1
01-04|Schenking H. Bosz.; Carabidae 9|Bembidion bruxellense|5
01-04|Schenking H. Bosz.; Carabidae 9|Bembidion tetracolum|12
01-04|Schenking H. Bosz.; Carabidae 9|Bembidion subcostatum|12
01-04|Schenking H. Bosz.; Carabidae 9|Bembidion andrea|11
01-04|Schenking H. Bosz.; Carabidae 9|Bembidion femoratum|8
01-04|Schenking H. Bosz.; Carabidae 9|Bembidion scapulare|12
01-04|Schenking H. Bosz.; Carabidae 9|Tachys walkeriana|3
01-04|Schenking H. Bosz.; Carabidae 9|Bembidion dentellum|8
01-05|Schenking H. Bosz.; Carabidae 10|Bembidion latinum|11
01-05|Schenking H. Bosz.; Carabidae 10|Bembidion testaceum|12
01-05|Schenking H. Bosz.; Carabidae 10|Bembidion fluviatile|8
01-05|Schenking H. Bosz.; Carabidae 10|Bembidion decorum|9
01-05|Schenking H. Bosz.; Carabidae 10|Bembidion modestum|4
01-05|Schenking H. Bosz.; Carabidae 10|Bembidion glaciale|1
01-05|Schenking H. Bosz.; Carabidae 10|Bembidion tetragrammum|8
01-05|Schenking H. Bosz.; Carabidae 10|Bembidion callosum|17
01-05|Schenking H. Bosz.; Carabidae 10|Bembidion stomoides|10
01-05|Schenking H. Bosz.; Carabidae 10|Bembidion ruficorne|8
01-05|Schenking H. Bosz.; Carabidae 10|Bembidion elongatum|10
01-05|Schenking H. Bosz.; Carabidae 10|Bembidion decoratum|8
01-05|Schenking H. Bosz.; Carabidae 10|Bembidion inustum|1
01-05|Schenking H. Bosz.; Carabidae 10|Bembidion schueppeli|2
01-05|Schenking H. Bosz.; Carabidae 10|Bembidion gilvipes|4
01-05|Schenking H. Bosz.; Carabidae 10|Bembidion fumigatum|11
01-05|Schenking H. Bosz.; Carabidae 10|Bembidion assimile|12
01-05|Schenking H. Bosz.; Carabidae 10|Bembidion normannum|5
01-05|Schenking H. Bosz.; Carabidae 10|Bembidion minimum|4
01-05|Schenking H. Bosz.; Carabidae 10|Bembidion azurescens|2
01-05|Schenking H. Bosz.; Carabidae 10|Bembidion humerale|12
01-05|Schenking H. Bosz.; Carabidae 10|Bembidion quadrimaculatum|12
01-05|Schenking H. Bosz.; Carabidae 10|Bembidion quadripustulatum|7
01-05|Schenking H. Bosz.; Carabidae 10|Bembidion doris|9
01-05|Schenking H. Bosz.; Carabidae 10|Bembidion articulatum|9
01-05|Schenking H. Bosz.; Carabidae 10|Bembidion octomaculatum|6
01-05|Schenking H. Bosz.; Carabidae 10|Bembidion obtusum|1
01-05|Schenking H. Bosz.; Carabidae 10|Bembidion biguttatum|12
01-05|Schenking H. Bosz.; Carabidae 10|Bembidion inoptatum|5
01-05|Schenking H. Bosz.; Carabidae 10|Bembidion aeneum|2
01-05|Schenking H. Bosz.; Carabidae 10|Bembidion mannerheimi|8
01-05|Schenking H. Bosz.; Carabidae 10|Bembidion guttula|2
01-05|Schenking H. Bosz.; Carabidae 10|Bembidion lunulatum|8
01-05|Schenking H. Bosz.; Carabidae 10|Bembidion iricolor|3
01-05|Schenking H. Bosz.; Carabidae 10|Bembidion egregium|10
01-05|Schenking H. Bosz.; Carabidae 10|Bembidion axillare|1
01-05|Schenking H. Bosz.; Carabidae 10|Bembidion praestum|8
01-05|Schenking H. Bosz.; Carabidae 10|Bembidion maculatum|1
01-05|Schenking H. Bosz.; Carabidae 10|Bembidion laetum|1
01-05|Schenking H. Bosz.; Carabidae 10|Bembidion pyrenaeum|12
01-05|Schenking H. Bosz.; Carabidae 10|Bembidion vicinum|4
01-05|Schenking H. Bosz.; Carabidae 10|Bembidion complanatum|5
01-05|Schenking H. Bosz.; Carabidae 10|Bembidion siculum|9
01-05|Schenking H. Bosz.; Carabidae 10|Bembidion grandipenne|1
01-05|Schenking H. Bosz.; Carabidae 10|Bembidion cordicolle|1
01-05|Schenking H. Bosz.; Carabidae 10|Bembidion vsteckai|1
01-05|Schenking H. Bosz.; Carabidae 10|Bembidion splendidum|2
01-05|Schenking H. Bosz.; Carabidae 10|Bembidion tursicus|1
01-05|Schenking H. Bosz.; Carabidae 10|Bembidion menetriesi|18
01-06|Schenking H. Bosz.; Carabidae 11|Cillenus lateralis|3
01-06|Schenking H. Bosz.; Carabidae 11|Ocys harpaloides|8
01-06|Schenking H. Bosz.; Carabidae 11|Asaphidion caraboides|9
01-06|Schenking H. Bosz.; Carabidae 11|Asaphidion pallipes|1
01-06|Schenking H. Bosz.; Carabidae 11|Asaphidion curtum|12
01-06|Schenking H. Bosz.; Carabidae 11|Asaphidion flavipes|10
01-06|Schenking H. Bosz.; Carabidae 11|Asaphidion flavicorne|2
01-06|Schenking H. Bosz.; Carabidae 11|Pogonus luridipennis|1
01-06|Schenking H. Bosz.; Carabidae 11|Pogonus gilvipes|3
01-06|Schenking H. Bosz.; Carabidae 11|Pogonus chalceus|10
01-06|Schenking H. Bosz.; Carabidae 11|Pogonus litoralis|10
01-06|Schenking H. Bosz.; Carabidae 11|Pogonus smaragdinus|12
01-06|Schenking H. Bosz.; Carabidae 11|Pogonus grayi|2
01-06|Schenking H. Bosz.; Carabidae 11|Pogonus gracilis|8
01-06|Schenking H. Bosz.; Carabidae 11|Pogonus filiformis|3
01-06|Schenking H. Bosz.; Carabidae 11|Pogonus pallidipennis|5
01-06|Schenking H. Bosz.; Carabidae 11|Pogonus testaceus|10
01-06|Schenking H. Bosz.; Carabidae 11|Pogonus rufoaeneus|12
01-06|Schenking H. Bosz.; Carabidae 11|Pogonus iridipennis|1
01-06|Schenking H. Bosz.; Carabidae 11|Patrobus atrorufus|8
01-06|Schenking H. Bosz.; Carabidae 11|Deltomerus tatricus|1
01-06|Schenking H. Bosz.; Carabidae 11|Deltomerus rufipennis|1
01-06|Schenking H. Bosz.; Carabidae 11|Perigona nigriceps|1
01-06|Schenking H. Bosz.; Carabidae 11|Dixus clypeatus|10
01-06|Schenking H. Bosz.; Carabidae 11|Dixus capito|2
01-06|Schenking H. Bosz.; Carabidae 11|Dixus spherocephalus|3
01-06|Schenking H. Bosz.; Carabidae 11|Dixus obscurus|7
01-06|Schenking H. Bosz.; Carabidae 11|Dixus eremita|3
01-06|Schenking H. Bosz.; Carabidae 11|Anisodactylus binotatus|8
01-06|Schenking H. Bosz.; Carabidae 11|Anisodactylus nemorivagus|2
01-06|Schenking H. Bosz.; Carabidae 11|Anisodactylus signatus|1
01-06|Schenking H. Bosz.; Carabidae 11|Anisodactylus poeciloides|1
01-06|Schenking H. Bosz.; Carabidae 11|Anisodactylus heros|1
01-06|Schenking H. Bosz.; Carabidae 11|Gynandromorphus etruscus|1
01-06|Schenking H. Bosz.; Carabidae 11|Diachromus germanus|5
01-06|Schenking H. Bosz.; Carabidae 11|Carterus calydonius|6
01-06|Schenking H. Bosz.; Carabidae 11|Carterus amicorum|1
01-06|Schenking H. Bosz.; Carabidae 11|Carterus cephalotus|1
01-06|Schenking H. Bosz.; Carabidae 11|Carterus cordatus|1
01-06|Schenking H. Bosz.; Carabidae 11|Carterus robustus|4
01-06|Schenking H. Bosz.; Carabidae 11|Carterus fulvipes|1
01-07|Schenking H. Bosz.; Carabidae 12|Trichotichnus laevicollis|10
01-07|Schenking H. Bosz.; Carabidae 12|Trichotichnus nitens|3
01-07|Schenking H. Bosz.; Carabidae 12|Trichotichnus rimanus|4
01-07|Schenking H. Bosz.; Carabidae 12|Harpalus cephalotus|1
01-07|Schenking H. Bosz.; Carabidae 12|Harpalus flavescens|4
01-07|Schenking H. Bosz.; Carabidae 12|Harpalus froelichi|1
01-07|Schenking H. Bosz.; Carabidae 12|Harpalus affinis|10
01-07|Schenking H. Bosz.; Carabidae 12|Harpalus distinguendus|5
01-07|Schenking H. Bosz.; Carabidae 12|Harpalus smaragdinus|1
01-07|Schenking H. Bosz.; Carabidae 12|Harpalus dimidiatus|4
01-07|Schenking H. Bosz.; Carabidae 12|Harpalus attenuatus|1
01-07|Schenking H. Bosz.; Carabidae 12|Harpalus atratus|1
01-07|Schenking H. Bosz.; Carabidae 12|Harpalus solitaris|1
01-07|Schenking H. Bosz.; Carabidae 12|Harpalus latus|1
01-07|Schenking H. Bosz.; Carabidae 12|Harpalus marginellus|5
01-07|Schenking H. Bosz.; Carabidae 12|Harpalus rubripes|1
01-07|Schenking H. Bosz.; Carabidae 12|Harpalus sulphuripes|5
01-07|Schenking H. Bosz.; Carabidae 12|Harpalus honestus|8
01-07|Schenking H. Bosz.; Carabidae 12|Harpalus rufipalpis|3
01-07|Schenking H. Bosz.; Carabidae 12|Harpalus neglectus|1
01-07|Schenking H. Bosz.; Carabidae 12|Harpalus autumnalis|1
01-07|Schenking H. Bosz.; Carabidae 12|Harpalus melancholicus|1
01-07|Schenking H. Bosz.; Carabidae 12|Harpalus picipennis|2
01-07|Schenking H. Bosz.; Carabidae 12|Harpalus pumilus|1
01-07|Schenking H. Bosz.; Carabidae 12|Harpalus servus|1
01-07|Schenking H. Bosz.; Carabidae 12|Harpalus politus|1
01-07|Schenking H. Bosz.; Carabidae 12|Harpalus tardus|2
01-07|Schenking H. Bosz.; Carabidae 12|Harpalus modestus|2
01-07|Schenking H. Bosz.; Carabidae 12|Harpalus anxius|3
01-07|Schenking H. Bosz.; Carabidae 12|Harpalus subcylindricus|1
01-07|Schenking H. Bosz.; Carabidae 12|Harpalus serripes|10
01-07|Schenking H. Bosz.; Carabidae 12|Harpalus punctipennis|2
01-07|Schenking H. Bosz.; Carabidae 12|Ophonus subulicola|3
01-07|Schenking H. Bosz.; Carabidae 12|Ophonus oblongus|1
01-07|Schenking H. Bosz.; Carabidae 12|Ophonus stictus|10
01-07|Schenking H. Bosz.; Carabidae 12|Ophonus ardosiacus|6
01-07|Schenking H. Bosz.; Carabidae 12|Ophonus subquadratus|2
01-07|Schenking H. Bosz.; Carabidae 12|Ophonus ribricollis|2
01-07|Schenking H. Bosz.; Carabidae 12|Ophonus azureus|1
01-07|Schenking H. Bosz.; Carabidae 12|Ophonus rufibarbis|4
01-07|Schenking H. Bosz.; Carabidae 12|Ophonus schaubergerianus|9
01-07|Schenking H. Bosz.; Carabidae 12|Ophonus cordatus|2
01-07|Schenking H. Bosz.; Carabidae 12|Ophonus nitidulus|1
01-07|Schenking H. Bosz.; Carabidae 12|Ophonus puncticollis|6
01-07|Schenking H. Bosz.; Carabidae 12|Ophonus melleti|1
01-07|Schenking H. Bosz.; Carabidae 12|Ophonus rupicola|1
01-07|Schenking H. Bosz.; Carabidae 12|Ophonus puncticeps|10
01-07|Schenking H. Bosz.; Carabidae 12|Ophonus rotundatus|1
01-07|Schenking H. Bosz.; Carabidae 12|Pseudoophonus rufipes|8
01-07|Schenking H. Bosz.; Carabidae 12|Pseudoophonus griseus|10
01-07|Schenking H. Bosz.; Carabidae 12|Pseudoophonus calceatus|2
01-08|Schenking H. Bosz.; Carabidae 13|Abacetus salzmanni|10
01-08|Schenking H. Bosz.; Carabidae 13|Acinopus picipes|8
01-08|Schenking H. Bosz.; Carabidae 13|Acinopus megacephalus|4
01-08|Schenking H. Bosz.; Carabidae 13|Acinopus ammophilus|6
01-08|Schenking H. Bosz.; Carabidae 13|Tapinopterus creticus|1
01-08|Schenking H. Bosz.; Carabidae 13|Tapinopterus monastirensis|1
01-08|Schenking H. Bosz.; Carabidae 13|Tapinopterus laticornis|15
01-08|Schenking H. Bosz.; Carabidae 13|Stenolophus teutonus|8
01-08|Schenking H. Bosz.; Carabidae 13|Stenolophus skrimshiranus|8
01-08|Schenking H. Bosz.; Carabidae 13|Stenolophus discophorus|12
01-08|Schenking H. Bosz.; Carabidae 13|Stenolophus mixtus|10
01-08|Schenking H. Bosz.; Carabidae 13|Dicheirotrichus gustavi|8
01-08|Schenking H. Bosz.; Carabidae 13|Dicheirotrichus obsoletus|8
01-08|Schenking H. Bosz.; Carabidae 13|Dicheirotrichus pallidus|5
01-08|Schenking H. Bosz.; Carabidae 13|Trichocellus placidus|3
01-08|Schenking H. Bosz.; Carabidae 13|Trichocellus cognatus|3
01-08|Schenking H. Bosz.; Carabidae 13|Bradycellus verbasci|1
01-08|Schenking H. Bosz.; Carabidae 13|Bradycellus sharpii|1
01-08|Schenking H. Bosz.; Carabidae 13|Bradycellus harpalinus|8
01-08|Schenking H. Bosz.; Carabidae 13|Bradycellus csikii|1
01-08|Schenking H. Bosz.; Carabidae 13|Bradycellus caucasicus|4
01-08|Schenking H. Bosz.; Carabidae 13|Acupalpus elegans|5
01-08|Schenking H. Bosz.; Carabidae 13|Acupalpus flavicollis|5
01-08|Schenking H. Bosz.; Carabidae 13|Acupalpus brunnipes|3
01-08|Schenking H. Bosz.; Carabidae 13|Acupalpus meridianus|8
01-08|Schenking H. Bosz.; Carabidae 13|Acupalpus parvulus|10
01-08|Schenking H. Bosz.; Carabidae 13|Acupalpus maculatus|2
01-08|Schenking H. Bosz.; Carabidae 13|Acupalpus dubius|3
01-08|Schenking H. Bosz.; Carabidae 13|Acupalpus luteatus|5
01-08|Schenking H. Bosz.; Carabidae 13|Acupalpus exiguus|8
01-08|Schenking H. Bosz.; Carabidae 13|Acupalpus notatus|6
01-08|Schenking H. Bosz.; Carabidae 13|Anthracus consputus|1
01-08|Schenking H. Bosz.; Carabidae 13|Amblystomus picinus|1
01-08|Schenking H. Bosz.; Carabidae 13|Egadroma marginata|3
01-08|Schenking H. Bosz.; Carabidae 13|Stomis pumicatus|2
01-08|Schenking H. Bosz.; Carabidae 13|Stomis rostratus|9
01-08|Schenking H. Bosz.; Carabidae 13|Poecilus kugelanni|3
01-08|Schenking H. Bosz.; Carabidae 13|Poecilus koyi|4
01-08|Schenking H. Bosz.; Carabidae 13|Poecilus sericeus|2
01-08|Schenking H. Bosz.; Carabidae 13|Poecilus cupreus|8
01-08|Schenking H. Bosz.; Carabidae 13|Poecilus versicolor|8
01-08|Schenking H. Bosz.; Carabidae 13|Poecilus cursorius|2
01-08|Schenking H. Bosz.; Carabidae 13|Poecilus lepidus|16
01-09|Schenking H. Bosz.; Carabidae 8|Aphaenops crypticola|3
01-09|Schenking H. Bosz.; Carabidae 8|Aphaenops hustachei|1
01-09|Schenking H. Bosz.; Carabidae 8|Aphaenops cerberus|10
01-09|Schenking H. Bosz.; Carabidae 8|Aphaenops pluto|11
01-09|Schenking H. Bosz.; Carabidae 8|Aphaenops jeanneli|10
01-09|Schenking H. Bosz.; Carabidae 8|Aphaenops leschenaulti|13
01-09|Schenking H. Bosz.; Carabidae 8|Aphaenops vandeli|14
01-09|Schenking H. Bosz.; Carabidae 8|Aphaenops cabidochei|5
01-09|Schenking H. Bosz.; Carabidae 8|Speotrechus mayeti|10
01-09|Schenking H. Bosz.; Carabidae 8|Boldoriella carminatii|8
01-09|Schenking H. Bosz.; Carabidae 8|Boldoriella carminatii bucciarella|2
01-09|Schenking H. Bosz.; Carabidae 8|Boldoriella humeralis|5
01-09|Schenking H. Bosz.; Carabidae 8|Boldoriella humeralis boldorii|10
01-09|Schenking H. Bosz.; Carabidae 8|Boldoriella knauthi binaghii|1
01-09|Schenking H. Bosz.; Carabidae 8|Boldoriella gratiae|1
01-09|Schenking H. Bosz.; Carabidae 8|Boldoriella monguzzi|1
01-09|Schenking H. Bosz.; Carabidae 8|Allegrettia boldorii|1
01-09|Schenking H. Bosz.; Carabidae 8|Allegrettia pavani|2
01-09|Schenking H. Bosz.; Carabidae 8|Neotrechus suturalis|4
01-09|Schenking H. Bosz.; Carabidae 8|Orotrechus giordani|12
01-09|Schenking H. Bosz.; Carabidae 8|Orotrechus fabianii|12
01-09|Schenking H. Bosz.; Carabidae 8|Orotrechus robustus|4
01-09|Schenking H. Bosz.; Carabidae 8|Orotrechus targionii pasubianus|1
01-09|Schenking H. Bosz.; Carabidae 8|Orotrechus targioni alticola|1
01-09|Schenking H. Bosz.; Carabidae 8|Orotrechus ganglbaueri|10
01-09|Schenking H. Bosz.; Carabidae 8|Orotrechus holdausii|8
01-09|Schenking H. Bosz.; Carabidae 8|Orotrechus holdausii buchiarella|5
01-09|Schenking H. Bosz.; Carabidae 8|Orotrechus venitianus cellinea|1
01-09|Schenking H. Bosz.; Carabidae 8|Orotrechus venitianus|1
01-09|Schenking H. Bosz.; Carabidae 8|Orotrechus stephani roboretanus|1
01-09|Schenking H. Bosz.; Carabidae 8|Orotrechus cavallensis|12
01-09|Schenking H. Bosz.; Carabidae 8|Orotrechus fortii|2
01-09|Schenking H. Bosz.; Carabidae 8|Orotrechus ruffoi|1
01-09|Schenking H. Bosz.; Carabidae 8|Orotrechus pomini|1
01-09|Schenking H. Bosz.; Carabidae 8|Orotrechus gestroi|4
01-09|Schenking H. Bosz.; Carabidae 8|Orotrechus springeri|12
01-09|Schenking H. Bosz.; Carabidae 8|Orotrechus jucci|4
01-09|Schenking H. Bosz.; Carabidae 8|Orotrechus jamae|1
01-09|Schenking H. Bosz.; Carabidae 8|Orotrechus forojulentis|2
01-09|Schenking H. Bosz.; Carabidae 8|Orotrechus montisragogna|1
